submission_id,Handedness,Mapping,QUD,RT,Response,age,comments,correctness,endTime,expected,experiment_id,gender,key1,key2,key_pressed,languages,option1,option2,p,picture,q,question,startDate,startTime,technical_issues,timeSpent,trial_number,trial_type
2090,right-handed,incompatible,NA,508,right,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,small,169,other,q,p,p,deutsch,NA,NA,small,images/stimulus_small.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,24,experimental_trials_incompatible
2090,right-handed,incompatible,NA,558,right,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,small,169,other,q,p,p,deutsch,NA,NA,small,images/stimulus_small.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,25,experimental_trials_incompatible
2090,right-handed,incompatible,NA,367,right,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,small,169,other,q,p,p,deutsch,NA,NA,small,images/stimulus_small.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,26,experimental_trials_incompatible
2090,right-handed,incompatible,NA,368,left,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,large,169,other,q,p,q,deutsch,NA,NA,small,images/stimulus_large.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,27,experimental_trials_incompatible
2090,right-handed,incompatible,NA,448,right,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,small,169,other,q,p,p,deutsch,NA,NA,small,images/stimulus_small.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,28,experimental_trials_incompatible
2090,right-handed,incompatible,NA,362,left,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,large,169,other,q,p,q,deutsch,NA,NA,small,images/stimulus_large.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,29,experimental_trials_incompatible
2090,right-handed,incompatible,NA,533,right,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,small,169,other,q,p,p,deutsch,NA,NA,small,images/stimulus_small.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,30,experimental_trials_incompatible
2090,right-handed,incompatible,NA,428,right,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,small,169,other,q,p,p,deutsch,NA,NA,small,images/stimulus_small.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,31,experimental_trials_incompatible
2090,right-handed,incompatible,NA,493,right,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,small,169,other,q,p,p,deutsch,NA,NA,small,images/stimulus_small.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,32,experimental_trials_incompatible
2090,right-handed,incompatible,NA,507,right,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,small,169,other,q,p,p,deutsch,NA,NA,small,images/stimulus_small.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,33,experimental_trials_incompatible
2090,right-handed,incompatible,NA,452,right,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,small,169,other,q,p,p,deutsch,NA,NA,small,images/stimulus_small.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,34,experimental_trials_incompatible
2090,right-handed,incompatible,NA,418,left,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,large,169,other,q,p,q,deutsch,NA,NA,small,images/stimulus_large.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,35,experimental_trials_incompatible
2090,right-handed,incompatible,NA,458,right,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,small,169,other,q,p,p,deutsch,NA,NA,small,images/stimulus_small.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,36,experimental_trials_incompatible
2090,right-handed,incompatible,NA,412,left,23,ich habe einmal p gedrückt gehalten beim 3. versuch :(,1,1596490335579,large,169,other,q,p,q,deutsch,NA,NA,small,images/stimulus_large.jpg,large,NA,Mon Aug 03 2020 14:11:11 GMT-0700 (Nordamerikanische Westküsten-Sommerzeit),1596489071438,Yes,21.069016666666666,37,experimental_trials_incompatible
